ticker,factor,year,coefficient,t-value
PEP,total_return,2011,0.0471,1.0
ACN,mkt-rf,2011,1.1579,13.5266
ACN,smb,2011,-0.1626,-1.0187
ACN,hml,2011,-0.4247,-1.623
ACN,rmw,2011,0.1354,0.4289
ACN,cma,2011,-0.4914,-1.3814
ACN,mom,2011,-0.0288,-0.2185
ACN,alpha,2011,0.0003,0.3382
ACN,total_return,2011,0.1203,1.0
TMO,mkt-rf,2011,1.0214,11.4415
TMO,smb,2011,-0.0784,-0.4709
TMO,hml,2011,-0.2921,-1.0705
TMO,rmw,2011,-0.2593,-0.7877
TMO,cma,2011,-0.2798,-0.7543
TMO,mom,2011,-0.1712,-1.2452
TMO,alpha,2011,-0.0007,-0.8646
TMO,total_return,2011,-0.1874,1.0
SAP,mkt-rf,2011,1.309,13.1263
SAP,smb,2011,-0.1874,-1.0077
SAP,hml,2011,-0.3338,-1.0951
SAP,rmw,2011,0.1413,0.3843
SAP,cma,2011,-0.1353,-0.3264
SAP,mom,2011,-0.063,-0.4101
SAP,alpha,2011,0.0001,0.1564
SAP,total_return,2011,0.0608,1.0
NVS,mkt-rf,2011,0.7799,10.7912
NVS,smb,2011,-0.1744,-1.2939
NVS,hml,2011,-0.1584,-0.7172
NVS,rmw,2011,0.1905,0.7149
NVS,cma,2011,0.3314,1.1034
NVS,mom,2011,-0.0565,-0.5077
NVS,alpha,2011,-0.0001,-0.1272
NVS,total_return,2011,0.0116,1.0
MCD,mkt-rf,2011,0.6643,12.0266
MCD,smb,2011,-0.1263,-1.2262
MCD,hml,2011,0.0011,0.0065
MCD,rmw,2011,0.6113,3.0014
MCD,cma,2011,-0.1167,-0.5084
MCD,mom,2011,-0.0165,-0.194
MCD,alpha,2011,0.0008,1.7287
MCD,total_return,2011,0.3474,1.0
AZN,mkt-rf,2011,0.9795,14.3939
AZN,smb,2011,-0.4325,-3.4085
AZN,hml,2011,-0.2053,-0.9868
AZN,rmw,2011,0.2854,1.1374
AZN,cma,2011,0.5901,2.0864
AZN,mom,2011,-0.0994,-0.948
AZN,alpha,2011,0.0,0.0599
AZN,total_return,2011,0.0606,1.0
SHEL,mkt-rf,2011,1.0692,15.7736
SHEL,smb,2011,-0.3373,-2.668
SHEL,hml,2011,0.3661,1.7672
SHEL,rmw,2011,0.1216,0.4865
SHEL,cma,2011,-0.1946,-0.691
SHEL,mom,2011,0.3362,3.2204
SHEL,alpha,2011,0.0004,0.6843
SHEL,total_return,2011,0.1479,1.0
CSCO,mkt-rf,2011,1.2086,10.3579
CSCO,smb,2011,-0.3099,-1.4243
CSCO,hml,2011,0.0536,0.1503
CSCO,rmw,2011,0.5726,1.331
CSCO,cma,2011,-0.3483,-0.7182
CSCO,mom,2011,-0.2971,-1.6534
CSCO,alpha,2011,-0.0005,-0.4998
CSCO,total_return,2011,-0.0956,1.0
LIN,mkt-rf,2011,0.911,16.3374
LIN,smb,2011,-0.0833,-0.8009
LIN,hml,2011,0.0492,0.2885
LIN,rmw,2011,-0.0189,-0.0919
LIN,cma,2011,0.0104,0.045
LIN,mom,2011,0.1269,1.4773
LIN,alpha,2011,0.0005,0.994
LIN,total_return,2011,0.1425,1.0
ABT,mkt-rf,2011,0.814,15.2341
ABT,smb,2011,-0.2285,-2.2936
ABT,hml,2011,0.1127,0.6903
ABT,rmw,2011,1.0741,5.452
ABT,cma,2011,0.3744,1.6861
ABT,mom,2011,-0.1826,-2.219
ABT,alpha,2011,0.0003,0.6754
ABT,total_return,2011,0.2178,1.0
TMUS,mkt-rf,2011,1.7039,7.4909
TMUS,smb,2011,0.4726,1.1143
TMUS,hml,2011,0.3695,0.5315
TMUS,rmw,2011,1.6158,1.9266
TMUS,cma,2011,0.3359,0.3553
TMUS,mom,2011,-0.1211,-0.3456
TMUS,alpha,2011,-0.0014,-0.73
TMUS,total_return,2011,-0.313,1.0
DHR,mkt-rf,2011,1.2154,19.4525
DHR,smb,2011,-0.1096,-0.9409
DHR,hml,2011,-0.4829,-2.5285
DHR,rmw,2011,0.1089,0.4729
DHR,cma,2011,0.7131,2.7461
DHR,mom,2011,-0.1593,-1.6558
DHR,alpha,2011,-0.0001,-0.1626
DHR,total_return,2011,-0.0005,1.0
DIS,mkt-rf,2011,1.183,15.8117
DIS,smb,2011,-0.3688,-2.6431
DIS,hml,2011,-0.5364,-2.3457
DIS,rmw,2011,-0.0528,-0.1915
DIS,cma,2011,0.877,2.8208
DIS,mom,2011,-0.4713,-4.0909
DIS,alpha,2011,0.0002,0.2648
DIS,total_return,2011,0.0169,1.0
INTC,mkt-rf,2011,1.0388,12.6246
INTC,smb,2011,-0.1108,-0.7221
INTC,hml,2011,-1.1816,-4.6984
INTC,rmw,2011,0.2963,0.9765
INTC,cma,2011,0.8777,2.5665
INTC,mom,2011,-0.5401,-4.2617
INTC,alpha,2011,0.0005,0.6671
INTC,total_return,2011,0.1937,1.0
INTU,mkt-rf,2011,0.9395,10.5648
INTU,smb,2011,0.2134,1.2867
INTU,hml,2011,-0.5083,-1.8699
INTU,rmw,2011,0.01,0.0306
INTU,cma,2011,-0.1191,-0.3222
INTU,mom,2011,-0.1839,-1.3431
INTU,alpha,2011,0.0003,0.3293
INTU,total_return,2011,0.0692,1.0
WFC,mkt-rf,2011,1.1695,15.414
WFC,smb,2011,-0.0833,-0.589
WFC,hml,2011,1.522,6.5632
WFC,rmw,2011,-0.0383,-0.1368
WFC,cma,2011,-0.5777,-1.832
WFC,mom,2011,-0.0714,-0.6108
WFC,alpha,2011,0.0002,0.3364
WFC,total_return,2011,-0.0952,1.0
CMCSA,mkt-rf,2011,1.1619,15.5091
CMCSA,smb,2011,-0.1128,-0.8077
CMCSA,hml,2011,0.2853,1.2461
CMCSA,rmw,2011,0.7991,2.8931
CMCSA,cma,2011,0.5356,1.7203
CMCSA,mom,2011,0.1377,1.1932
CMCSA,alpha,2011,0.0001,0.0794
CMCSA,total_return,2011,0.1051,1.0
VZ,mkt-rf,2011,0.7548,12.576
VZ,smb,2011,-0.1155,-1.0317
VZ,hml,2011,0.5716,3.1158
VZ,rmw,2011,0.8914,4.0279
VZ,cma,2011,0.2004,0.8035
VZ,mom,2011,0.1425,1.5411
VZ,alpha,2011,0.0003,0.5813
VZ,total_return,2011,0.1814,1.0
IBM,mkt-rf,2011,1.0375,17.3509
IBM,smb,2011,-0.3694,-3.3123
IBM,hml,2011,-0.23,-1.2584
IBM,rmw,2011,0.7537,3.4187
IBM,cma,2011,-0.2352,-0.9465
IBM,mom,2011,-0.056,-0.6081
IBM,alpha,2011,0.0004,0.848
IBM,total_return,2011,0.2744,1.0
CAT,mkt-rf,2011,1.3607,17.3296
CAT,smb,2011,0.2316,1.5814
CAT,hml,2011,-0.6525,-2.719
CAT,rmw,2011,-0.0626,-0.2162
CAT,cma,2011,0.6879,2.1082
CAT,mom,2011,-0.0954,-0.7892
CAT,alpha,2011,-0.0,-0.0366
CAT,total_return,2011,-0.015,1.0
QCOM,mkt-rf,2011,1.0602,13.1089
QCOM,smb,2011,-0.0976,-0.647
QCOM,hml,2011,-1.0375,-4.1971
QCOM,rmw,2011,-0.7623,-2.5563
QCOM,cma,2011,-0.2452,-0.7295
QCOM,mom,2011,0.0071,0.0569
QCOM,alpha,2011,0.0005,0.7724
QCOM,total_return,2011,0.1225,1.0
AMGN,mkt-rf,2011,0.7714,10.157
AMGN,smb,2011,-0.2872,-2.0277
AMGN,hml,2011,-0.3545,-1.5271
AMGN,rmw,2011,0.4254,1.519
AMGN,cma,2011,0.9279,2.9399
AMGN,mom,2011,-0.2588,-2.2126
AMGN,alpha,2011,0.0005,0.7054
AMGN,total_return,2011,0.1819,1.0
NKE,mkt-rf,2011,1.0454,10.584
NKE,smb,2011,0.14,0.7602
NKE,hml,2011,-0.0376,-0.1246
NKE,rmw,2011,0.6703,1.8405
NKE,cma,2011,-0.2065,-0.5031
NKE,mom,2011,0.1914,1.2579
NKE,alpha,2011,0.0002,0.1821
NKE,total_return,2011,0.1447,1.0
PFE,mkt-rf,2011,0.9569,13.8321
PFE,smb,2011,-0.3252,-2.5204
PFE,hml,2011,0.0163,0.0772
PFE,rmw,2011,0.3354,1.3151
PFE,cma,2011,0.3704,1.2882
PFE,mom,2011,0.0807,0.7577
PFE,alpha,2011,0.0008,1.2815
PFE,total_return,2011,0.2873,1.0
HSBC,mkt-rf,2011,1.0993,14.8512
HSBC,smb,2011,-0.4146,-3.0034
HSBC,hml,2011,-0.3926,-1.7355
HSBC,rmw,2011,-0.546,-2.0006
HSBC,cma,2011,0.4467,1.452
HSBC,mom,2011,-0.4578,-4.0163
HSBC,alpha,2011,-0.0006,-0.9492
HSBC,total_return,2011,-0.2215,1.0
BHP,mkt-rf,2011,1.2544,16.6438
BHP,smb,2011,-0.062,-0.441
BHP,hml,2011,-0.5932,-2.575
BHP,rmw,2011,-1.0616,-3.8203
BHP,cma,2011,0.0452,0.1444
BHP,mom,2011,-0.2238,-1.9285
