Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,MarketCap
20041111,54,MCD,19.30000000,19.51000000,19.19000000,19.42000000,30.28000000,19.42000000,19.42000000,54839,0,54839,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041112,54,MCD,19.48000000,19.56000000,19.30000000,19.56000000,30.50000000,19.56000000,19.56000000,54309,0,54309,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041115,54,MCD,19.45000000,19.58000000,19.39000000,19.51000000,30.42000000,19.51000000,19.51000000,54454,0,54454,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041116,54,MCD,19.54000000,19.54000000,19.31000000,19.31000000,30.11000000,19.31000000,19.31000000,38697,0,38697,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041117,54,MCD,19.44000000,19.58000000,19.31000000,19.49000000,30.40000000,19.49000000,19.49000000,63485,0,63485,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041118,54,MCD,19.40000000,19.60000000,19.01000000,19.20000000,29.95000000,19.20000000,19.20000000,150757,0,150757,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041119,54,MCD,19.01000000,19.08000000,18.60000000,18.79000000,29.30000000,18.79000000,18.79000000,123547,0,123547,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041122,54,MCD,18.88000000,18.96000000,18.61000000,18.84000000,29.38000000,18.84000000,18.84000000,76627,0,76627,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041123,54,MCD,18.77000000,19.31000000,18.76000000,19.30000000,30.10000000,19.30000000,19.30000000,87334,0,87334,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041124,54,MCD,19.36000000,19.77000000,19.36000000,19.49000000,30.40000000,19.49000000,19.49000000,63746,0,63746,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041125,54,MCD,19.36000000,19.77000000,19.36000000,19.49000000,30.40000000,30.40000000,19.49000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041126,54,MCD,19.45000000,19.70000000,19.44000000,19.60000000,30.57000000,19.60000000,19.60000000,20851,0,20851,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041129,54,MCD,19.69000000,19.78000000,19.24000000,19.72000000,30.75000000,19.72000000,19.72000000,81557,0,81557,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041130,54,MCD,19.62000000,19.78000000,19.56000000,19.71000000,30.74000000,19.71000000,19.71000000,93282,0,93282,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041201,54,MCD,19.81000000,20.11000000,19.79000000,20.01000000,31.21000000,20.01000000,20.01000000,101829,0,101829,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041202,54,MCD,20.08000000,20.25000000,19.97000000,20.15000000,31.42000000,20.15000000,20.15000000,64288,0,64288,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041203,54,MCD,20.15000000,20.15000000,19.95000000,20.06000000,31.28000000,20.06000000,20.06000000,51210,0,51210,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041206,54,MCD,20.01000000,20.01000000,19.85000000,19.93000000,31.08000000,19.93000000,19.93000000,49482,0,49482,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041207,54,MCD,19.93000000,20.12000000,19.82000000,20.02000000,31.22000000,20.02000000,20.02000000,79773,0,79773,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041208,54,MCD,20.02000000,20.36000000,20.01000000,20.20000000,31.50000000,20.20000000,20.20000000,83974,0,83974,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041209,54,MCD,20.01000000,20.42000000,19.97000000,20.38000000,31.78000000,20.38000000,20.38000000,120421,0,120421,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041210,54,MCD,20.44000000,20.44000000,20.13000000,20.29000000,31.65000000,20.29000000,20.29000000,62712,0,62712,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
