Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,MarketCap
20120919,54,WEN,3.73000000,3.82000000,3.72000000,3.80000000,4.51000000,3.80000000,3.80000000,34429,0,34429,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1762218,390736,0.000,0.000,0.000,0.000,N/A,N/A,1762218
20120920,54,WEN,3.79000000,3.83000000,3.77000000,3.83000000,4.54000000,3.83000000,3.83000000,25683,0,25683,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1773940,390736,0.000,0.000,0.000,0.000,N/A,N/A,1773940
20120921,54,WEN,3.83000000,3.85000000,3.80000000,3.85000000,4.57000000,3.85000000,3.85000000,63753,0,63753,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1785663,390736,0.000,0.000,0.000,0.000,N/A,N/A,1785663
20120924,54,WEN,3.82000000,3.88000000,3.77000000,3.85000000,4.57000000,3.85000000,3.85000000,26505,0,26505,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1785663,390736,0.000,0.000,0.000,0.000,N/A,N/A,1785663
20120925,54,WEN,3.85000000,3.92000000,3.84000000,3.89000000,4.62000000,3.89000000,3.89000000,58923,0,58923,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1805199,390736,0.000,0.000,0.000,0.000,N/A,N/A,1805199
20120926,54,WEN,3.86000000,3.94000000,3.83000000,3.88000000,4.61000000,3.88000000,3.88000000,37025,0,37025,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1801292,390736,0.000,0.000,0.000,0.000,N/A,N/A,1801292
20120927,54,WEN,3.90000000,3.93000000,3.82000000,3.83000000,4.55000000,3.83000000,3.83000000,47220,0,47220,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1777848,390736,0.000,0.000,0.000,0.000,N/A,N/A,1777848
20120928,54,WEN,3.82000000,3.85000000,3.77000000,3.82000000,4.53000000,3.82000000,3.82000000,29023,0,29023,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1770033,390736,0.000,0.000,0.000,0.000,N/A,N/A,1770033
20121001,54,WEN,3.77000000,3.79000000,3.55000000,3.58000000,4.25000000,3.58000000,3.58000000,107818,0,107818,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1660627,390736,0.000,0.000,0.000,0.000,N/A,N/A,1660627
20121002,54,WEN,3.60000000,3.63000000,3.56000000,3.61000000,4.28000000,3.61000000,3.61000000,33408,0,33408,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1672349,390736,0.000,0.000,0.000,0.000,N/A,N/A,1672349
20121003,54,WEN,3.60000000,3.62000000,3.57000000,3.60000000,4.27000000,3.60000000,3.60000000,25482,0,25482,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1668442,390736,0.000,0.000,0.000,0.000,N/A,N/A,1668442
20121004,54,WEN,3.60000000,3.61000000,3.56000000,3.57000000,4.24000000,3.57000000,3.57000000,21669,0,21669,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1656720,390736,0.000,0.000,0.000,0.000,N/A,N/A,1656720
20121005,54,WEN,3.56000000,3.59000000,3.54000000,3.54000000,4.20000000,3.54000000,3.54000000,23167,0,23167,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1641090,390736,0.000,0.000,0.000,0.000,N/A,N/A,1641090
20121008,54,WEN,3.54000000,3.57000000,3.45000000,3.57000000,4.24000000,3.57000000,3.57000000,71736,0,71736,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1656720,390736,0.000,0.000,0.000,0.000,N/A,N/A,1656720
20121009,54,WEN,3.58000000,3.58000000,3.53000000,3.55000000,4.21000000,3.55000000,3.55000000,19224,0,19224,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1644998,390736,0.000,0.000,0.000,0.000,N/A,N/A,1644998
20121010,54,WEN,3.54000000,3.58000000,3.53000000,3.55000000,4.21000000,3.55000000,3.55000000,13310,0,13310,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1644998,390736,0.000,0.000,0.000,0.000,N/A,N/A,1644998
20121011,54,WEN,3.57000000,3.59000000,3.55000000,3.55000000,4.21000000,3.55000000,3.55000000,20191,0,20191,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1644998,390736,0.000,0.000,0.000,0.000,N/A,N/A,1644998
20121012,54,WEN,3.53000000,3.58000000,3.49000000,3.55000000,4.21000000,3.55000000,3.55000000,47117,0,47117,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1644998,390736,0.000,0.000,0.000,0.000,N/A,N/A,1644998
20121015,54,WEN,3.57000000,3.59000000,3.54000000,3.59000000,4.26000000,3.59000000,3.59000000,16838,0,16838,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1664534,390736,0.000,0.000,0.000,0.000,N/A,N/A,1664534
20121016,54,WEN,3.60000000,3.61000000,3.56000000,3.60000000,4.27000000,3.60000000,3.60000000,11311,0,11311,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1668442,390736,0.000,0.000,0.000,0.000,N/A,N/A,1668442
20121017,54,WEN,3.59000000,3.62000000,3.57000000,3.61000000,4.29000000,3.61000000,3.61000000,14469,0,14469,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1676257,390736,0.000,0.000,0.000,0.000,N/A,N/A,1676257
20121018,54,WEN,3.62000000,3.64000000,3.61000000,3.63000000,4.31000000,3.63000000,3.63000000,14720,0,14720,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1684071,390736,0.000,0.000,0.000,0.000,N/A,N/A,1684071
20121019,54,WEN,3.61000000,3.63000000,3.50000000,3.53000000,4.19000000,3.53000000,3.53000000,27016,0,27016,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1637183,390736,0.000,0.000,0.000,0.000,N/A,N/A,1637183
20121022,54,WEN,3.51000000,3.53000000,3.47000000,3.51000000,4.17000000,3.51000000,3.51000000,22607,0,22607,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1629368,390736,0.000,0.000,0.000,0.000,N/A,N/A,1629368
20121023,54,WEN,3.49000000,3.51000000,3.45000000,3.50000000,4.15000000,3.50000000,3.50000000,18869,0,18869,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1621554,390736,0.000,0.000,0.000,0.000,N/A,N/A,1621554
20121024,54,WEN,3.52000000,3.52000000,3.46000000,3.49000000,4.14000000,3.49000000,3.49000000,15686,0,15686,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1617646,390736,0.000,0.000,0.000,0.000,N/A,N/A,1617646
20121025,54,WEN,3.50000000,3.61000000,3.49000000,3.61000000,4.28000000,3.61000000,3.61000000,35452,0,35452,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1672349,390736,0.000,0.000,0.000,0.000,N/A,N/A,1672349
20121026,54,WEN,3.60000000,3.60000000,3.50000000,3.50000000,4.16000000,3.50000000,3.50000000,32297,0,32297,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1625461,390736,0.000,0.000,0.000,0.000,N/A,N/A,1625461
20121029,54,WEN,3.60000000,3.60000000,3.50000000,3.50000000,4.16000000,4.16000000,3.50000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20121030,54,WEN,3.60000000,3.60000000,3.50000000,3.50000000,4.16000000,4.16000000,3.50000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20121031,54,WEN,3.50000000,3.61000000,3.50000000,3.59000000,4.26000000,3.59000000,3.59000000,29958,0,29958,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1664534,390736,0.000,0.000,0.000,0.000,N/A,N/A,1664534
20121101,54,WEN,3.61000000,3.70000000,3.59000000,3.66000000,4.34000000,3.66000000,3.66000000,48571,0,48571,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1695793,390736,0.000,0.000,0.000,0.000,N/A,N/A,1695793
20121102,54,WEN,3.67000000,3.67000000,3.61000000,3.63000000,4.31000000,3.63000000,3.63000000,19605,0,19605,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1685573,391084,0.000,0.000,0.000,0.000,N/A,N/A,1685573
20121105,54,WEN,3.64000000,3.65000000,3.60000000,3.62000000,4.30000000,3.62000000,3.62000000,23309,0,23309,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1681662,391084,0.000,0.000,0.000,0.000,N/A,N/A,1681662
20121106,54,WEN,3.64000000,3.68000000,3.61000000,3.67000000,4.35000000,3.67000000,3.67000000,20647,0,20647,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1701217,391084,0.000,0.000,0.000,0.000,N/A,N/A,1701217
